

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
751.324  001.286  001.286: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/sources/file.vim
752.673  000.123  000.123: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/sources/file_list.vim
753.756  000.084  000.084: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/sources/file_point.vim
754.923  000.118  000.118: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/autoload/unite/sources/filetype.vim
757.290  000.566  000.566: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/sources/alias.vim
761.877  001.641  001.641: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/view.vim
767.844  000.850  000.850: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/handler.vim
774.325  000.121  000.121: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/filters/matcher_ignore_files.vim
775.804  000.126  000.126: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/filters/matcher_ignore_pattern.vim
777.149  000.095  000.095: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/filters/matcher_ignore_wildignore.vim
784.017  000.858  000.858: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/syntax/vimfiler.vim
796.669  000.941  000.941: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/view.vim
